Attrition,Age,BusinessTravel,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
No,35,Non-Travel,4,3,2,Healthcare Representative,1,Divorced,5093,No,1,16,4,1,0,0
No,32,Travel_Frequently,1,3,2,Laboratory Technician,4,Married,5309,No,2,10,3,10,8,7
No,38,Travel_Rarely,4,3,1,Research Scientist,3,Married,3057,Yes,1,6,1,1,0,1
No,34,Travel_Rarely,2,3,2,Manufacturing Director,1,Divorced,5121,No,1,7,3,0,0,0
No,52,Travel_Rarely,3,2,4,Manager,1,Married,16856,No,0,34,4,34,6,16
Yes,33,Travel_Rarely,4,3,1,Research Scientist,4,Single,2686,Yes,0,10,2,10,9,8
No,25,Travel_Rarely,3,3,2,Sales Executive,4,Single,6180,No,0,6,2,6,5,4
No,45,Travel_Rarely,2,1,2,Sales Representative,3,Single,6632,No,0,9,3,8,7,1
No,23,Travel_Rarely,1,4,1,Research Scientist,3,Single,3505,No,0,2,3,2,2,2
Yes,47,Travel_Frequently,2,4,2,Sales Executive,3,Single,6397,Yes,0,8,3,5,4,3
No,34,Travel_Rarely,4,3,2,Sales Executive,4,Single,6274,No,0,6,3,6,5,4
Yes,55,Travel_Rarely,4,3,5,Manager,1,Married,19859,Yes,1,24,3,5,2,4
No,36,Non-Travel,1,2,3,Sales Executive,1,Single,7587,No,0,10,3,10,7,9
No,52,Non-Travel,4,3,1,Research Scientist,4,Married,4258,No,1,5,3,4,3,2
No,26,Travel_Frequently,1,1,1,Laboratory Technician,4,Divorced,4364,No,1,5,3,2,2,0
No,29,Travel_Rarely,2,3,2,Healthcare Representative,3,Married,4335,No,1,11,2,8,7,1
Yes,26,Travel_Rarely,4,2,2,Sales Executive,1,Single,5326,No,0,6,2,4,3,2
No,34,Travel_Rarely,2,4,1,Research Scientist,4,Single,3280,No,0,10,3,4,2,3
No,54,Travel_Rarely,4,3,2,Manufacturing Director,1,Divorced,5485,Yes,2,9,3,5,3,4
No,27,Travel_Frequently,3,3,2,Sales Executive,4,Married,4342,No,1,5,3,4,2,1
No,37,Travel_Rarely,4,3,1,Research Scientist,1,Divorced,2782,Yes,2,6,2,5,3,3
No,38,Travel_Frequently,1,4,2,Manufacturing Director,1,Single,5980,Yes,0,17,3,15,7,12
No,34,Travel_Rarely,3,2,1,Research Scientist,1,Single,4381,No,0,6,3,6,5,3
No,35,Travel_Rarely,1,3,1,Sales Representative,4,Married,2572,No,1,3,2,3,2,2
No,30,Travel_Rarely,4,1,1,Laboratory Technician,3,Married,3833,No,2,7,3,2,2,2
No,40,Travel_Frequently,3,4,2,Healthcare Representative,2,Married,4244,No,1,8,3,8,7,7
No,34,Travel_Rarely,3,3,2,Sales Executive,1,Married,6500,No,1,6,3,3,2,2
No,42,Travel_Frequently,2,3,5,Manager,4,Divorced,18430,No,1,24,2,24,7,9
Yes,23,Travel_Rarely,3,4,1,Laboratory Technician,1,Married,1601,Yes,2,1,3,0,0,0
No,24,Non-Travel,3,2,1,Laboratory Technician,2,Divorced,2694,No,3,1,3,1,0,0
No,52,Travel_Rarely,4,3,2,Laboratory Technician,3,Married,3149,No,1,9,3,5,2,4
No,50,Travel_Rarely,3,3,4,Research Director,3,Married,17639,No,0,30,3,4,3,3
Yes,29,Travel_Rarely,2,2,1,Laboratory Technician,1,Married,2319,Yes,1,1,3,1,0,0
No,33,Travel_Rarely,3,3,3,Research Director,3,Married,11691,No,0,14,4,13,9,7
Yes,33,Travel_Rarely,1,3,2,Sales Executive,1,Single,5324,No,0,6,3,3,2,2
No,47,Travel_Rarely,3,3,4,Manager,4,Married,16752,Yes,1,26,2,26,14,0
No,36,Travel_Rarely,3,3,2,Manufacturing Director,2,Married,5228,No,1,10,3,9,7,5
No,29,Travel_Rarely,3,4,1,Research Scientist,3,Married,2700,No,1,10,3,10,7,7
Yes,58,Travel_Rarely,4,3,5,Research Director,2,Single,19246,Yes,0,40,3,31,15,8
No,35,Travel_Rarely,4,4,1,Research Scientist,3,Single,2506,No,0,7,3,2,2,2
No,42,Travel_Rarely,4,2,2,Manufacturing Director,4,Married,6062,Yes,1,8,3,4,3,2
Yes,28,Travel_Rarely,3,3,1,Research Scientist,3,Single,4382,No,0,5,2,2,2,1
No,36,Travel_Rarely,3,3,1,Human Resources,2,Married,2143,No,1,8,3,5,2,4
No,32,Travel_Rarely,3,2,2,Manufacturing Director,3,Married,6162,No,1,14,3,14,13,8
No,40,Travel_Frequently,1,2,2,Laboratory Technician,3,Single,5094,No,0,10,3,1,0,0
No,30,Travel_Rarely,3,2,2,Manufacturing Director,4,Single,6877,Yes,0,12,2,0,0,0
No,45,Travel_Rarely,2,2,1,Research Scientist,3,Single,2274,No,0,1,3,1,0,0
No,42,Travel_Rarely,2,3,2,Manufacturing Director,2,Married,4434,No,1,10,2,9,8,8
No,38,Travel_Frequently,1,2,2,Healthcare Representative,1,Divorced,6288,No,1,13,2,4,3,2
No,34,Travel_Frequently,3,2,1,Research Scientist,4,Single,2553,No,0,6,3,5,2,3
Yes,49,Travel_Rarely,3,3,3,Sales Executive,4,Married,7654,No,2,9,4,9,8,7
Yes,55,Travel_Rarely,3,3,2,Sales Executive,4,Single,5160,No,0,12,2,9,7,3
No,43,Travel_Rarely,2,3,4,Research Director,1,Married,17159,No,1,22,3,4,1,0
No,27,Travel_Rarely,3,2,3,Research Director,4,Divorced,12808,Yes,1,9,3,9,8,8
No,35,Travel_Rarely,3,3,3,Manufacturing Director,3,Single,10221,No,0,17,4,8,5,6
No,28,Travel_Rarely,2,3,2,Sales Executive,2,Married,4779,Yes,0,8,3,8,7,5
No,34,Travel_Rarely,3,3,1,Human Resources,4,Married,3737,No,1,4,1,3,2,2
Yes,26,Travel_Frequently,3,2,1,Research Scientist,3,Married,2366,Yes,1,8,3,8,7,7
No,27,Non-Travel,4,3,1,Research Scientist,4,Married,1706,No,3,0,2,0,0,0
No,51,Travel_Rarely,1,3,4,Manager,3,Married,16307,No,1,29,2,20,6,17
No,44,Travel_Rarely,4,3,2,Healthcare Representative,2,Single,5933,No,0,10,2,5,2,3
No,25,Travel_Rarely,1,4,1,Research Scientist,1,Single,3424,No,0,6,2,4,3,1
No,33,Travel_Rarely,1,4,2,Sales Executive,1,Divorced,4037,No,1,9,3,9,8,8
No,35,Travel_Rarely,3,2,1,Research Scientist,1,Single,2559,No,0,6,2,6,5,1
No,36,Travel_Rarely,2,3,2,Sales Executive,4,Married,6201,Yes,1,18,2,18,14,11
No,32,Travel_Rarely,2,3,2,Sales Executive,4,Divorced,4403,No,1,8,2,5,2,3
No,30,Travel_Frequently,2,2,1,Research Scientist,4,Divorced,3761,No,1,10,2,5,4,3
No,53,Travel_Rarely,1,2,3,Sales Executive,4,Married,10934,Yes,1,35,3,5,2,4
No,45,Travel_Rarely,4,3,3,Sales Executive,1,Divorced,10761,Yes,1,18,3,5,4,2
No,32,Travel_Rarely,3,4,2,Research Scientist,3,Married,5175,No,1,9,2,5,3,3
No,52,Travel_Frequently,3,2,4,Manufacturing Director,4,Married,13826,No,0,31,3,9,8,0
No,37,Travel_Rarely,4,2,2,Sales Executive,3,Divorced,6334,No,2,9,3,1,0,0
No,28,Travel_Rarely,2,2,1,Human Resources,4,Divorced,4936,No,1,6,3,5,1,4
No,22,Travel_Rarely,4,2,2,Manufacturing Director,4,Married,4775,No,2,4,1,2,2,2
No,44,Travel_Rarely,1,4,1,Laboratory Technician,4,Married,2818,Yes,1,10,2,3,2,2
No,42,Travel_Frequently,2,3,1,Research Scientist,4,Single,2515,Yes,0,8,3,2,1,2
No,36,Travel_Rarely,1,2,1,Human Resources,1,Married,2342,No,0,6,3,5,4,3
No,25,Travel_Rarely,3,3,2,Sales Executive,1,Married,4194,Yes,0,5,3,5,3,3
No,35,Travel_Rarely,4,2,3,Manufacturing Director,3,Married,10685,Yes,1,17,3,17,14,15
Yes,35,Travel_Frequently,4,3,1,Research Scientist,2,Divorced,2022,Yes,1,10,2,10,2,8
No,32,Non-Travel,4,3,1,Laboratory Technician,4,Divorced,2314,No,1,4,3,3,0,2
No,25,Travel_Rarely,3,2,2,Sales Executive,1,Married,4256,No,0,5,4,5,2,3
No,49,Travel_Rarely,3,3,1,Research Scientist,1,Married,3580,No,1,7,3,4,2,2
No,24,Non-Travel,1,2,1,Laboratory Technician,4,Married,3162,No,0,6,2,5,2,4
No,32,Travel_Frequently,2,3,2,Sales Executive,2,Married,6524,No,1,10,3,10,8,3
No,38,Travel_Rarely,2,2,1,Sales Representative,2,Married,2899,No,1,3,3,2,2,2
No,42,Travel_Rarely,3,4,2,Laboratory Technician,4,Married,5231,Yes,1,17,2,5,3,3
No,31,Travel_Rarely,4,3,1,Research Scientist,4,Married,2356,Yes,1,8,3,6,4,2
Yes,29,Travel_Rarely,2,2,1,Sales Representative,3,Divorced,2800,Yes,3,5,3,3,2,2
No,53,Travel_Rarely,1,3,4,Sales Executive,4,Married,11836,No,1,28,3,2,0,2
No,35,Travel_Rarely,4,2,3,Manufacturing Director,2,Married,10903,No,0,16,3,13,10,8
No,37,Travel_Frequently,3,3,1,Sales Representative,4,Married,2973,No,1,10,3,5,4,0
No,53,Travel_Rarely,4,3,4,Research Director,4,Single,14275,No,0,33,3,12,9,8
No,43,Travel_Frequently,4,3,2,Healthcare Representative,4,Married,5562,No,1,12,2,5,2,2
No,47,Travel_Rarely,3,3,2,Sales Executive,4,Married,4537,Yes,1,8,3,7,6,7
No,37,Non-Travel,1,3,3,Sales Executive,2,Single,7642,Yes,0,10,3,10,0,9
No,50,Non-Travel,1,3,4,Manager,1,Divorced,17924,No,1,31,3,31,6,7
No,39,Travel_Rarely,4,2,2,Human Resources,4,Married,5204,No,2,13,3,5,4,4
No,33,Travel_Rarely,4,3,1,Human Resources,2,Divorced,2277,Yes,1,7,4,4,3,3
Yes,32,Travel_Rarely,1,3,1,Laboratory Technician,4,Single,2795,Yes,0,1,1,1,0,1
No,29,Travel_Rarely,1,2,1,Laboratory Technician,4,Divorced,2532,No,3,8,3,4,3,3
No,44,Travel_Rarely,2,3,1,Research Scientist,1,Married,2559,Yes,0,8,3,8,7,1
No,28,Travel_Rarely,1,3,2,Sales Executive,4,Single,4908,No,0,4,3,4,2,2
Yes,58,Travel_Frequently,4,2,1,Laboratory Technician,4,Divorced,2380,Yes,1,3,2,1,0,0
No,43,Travel_Rarely,1,3,2,Manufacturing Director,2,Divorced,4765,No,1,4,4,1,0,0
Yes,20,Travel_Rarely,3,2,1,Sales Representative,3,Single,2044,No,0,2,2,2,2,2
Yes,21,Travel_Rarely,4,3,1,Research Scientist,4,Single,2693,No,0,1,2,1,0,0
No,36,Travel_Rarely,3,3,2,Healthcare Representative,4,Married,6586,Yes,1,17,2,16,8,11
No,47,Travel_Rarely,4,2,1,Sales Representative,4,Single,3294,Yes,0,3,2,3,2,2
Yes,22,Travel_Rarely,2,3,2,Manufacturing Director,3,Married,4171,Yes,1,4,4,3,2,2
Yes,41,Travel_Rarely,2,1,1,Laboratory Technician,4,Divorced,2778,Yes,1,10,2,7,7,0
No,28,Travel_Rarely,3,3,1,Research Scientist,3,Divorced,2377,No,1,6,3,2,2,2
Yes,39,Travel_Rarely,4,3,1,Laboratory Technician,1,Married,2404,Yes,0,8,1,2,2,2
No,27,Travel_Rarely,2,3,1,Research Scientist,3,Single,2318,No,0,1,3,1,1,0
No,34,Travel_Rarely,2,3,1,Laboratory Technician,2,Divorced,2008,No,2,1,3,1,0,0
No,42,Travel_Rarely,3,2,2,Sales Executive,3,Single,6244,No,0,10,3,5,4,3
No,33,Travel_Rarely,3,2,1,Research Scientist,1,Single,2799,Yes,0,6,3,3,2,2
No,58,Travel_Rarely,3,2,3,Healthcare Representative,2,Divorced,10552,Yes,1,24,3,6,0,4
No,31,Travel_Rarely,2,2,1,Sales Representative,3,Married,2329,No,0,13,4,7,7,2
No,35,Travel_Rarely,4,3,2,Healthcare Representative,4,Married,4014,Yes,1,10,1,10,6,7
No,49,Travel_Rarely,1,3,3,Laboratory Technician,2,Married,7403,No,1,29,2,26,9,7
No,48,Travel_Rarely,4,3,1,Research Scientist,3,Married,2259,No,2,13,2,0,0,0
No,31,Non-Travel,4,3,2,Sales Executive,3,Married,6932,No,1,9,2,9,8,0
No,36,Travel_Rarely,2,3,1,Research Scientist,4,Single,4678,No,0,8,3,6,2,1
No,38,Travel_Rarely,4,3,3,Research Director,1,Married,13582,No,1,15,3,15,12,11
No,32,Non-Travel,3,2,1,Laboratory Technician,2,Married,2332,No,0,5,3,3,0,2
Yes,25,Travel_Rarely,3,2,1,Sales Representative,2,Married,2413,Yes,3,1,3,1,0,0
No,40,Travel_Rarely,1,2,3,Sales Executive,2,Divorced,9705,No,1,11,2,1,0,0
No,26,Travel_Frequently,3,2,2,Sales Executive,1,Single,4294,No,0,7,3,7,7,7
No,41,Travel_Rarely,4,3,1,Laboratory Technician,1,Single,4721,Yes,0,20,3,18,13,17
No,36,Travel_Rarely,3,3,1,Laboratory Technician,3,Single,2519,No,0,16,3,11,8,9
Yes,19,Travel_Rarely,4,2,1,Sales Representative,2,Single,2121,Yes,0,1,4,1,0,0
Yes,20,Travel_Rarely,1,3,1,Laboratory Technician,1,Single,2973,No,0,1,3,1,0,0
No,31,Travel_Rarely,4,3,2,Healthcare Representative,4,Married,5855,Yes,2,10,1,9,7,5
No,40,Travel_Frequently,4,3,1,Research Scientist,2,Divorced,3617,Yes,1,3,3,1,1,0
No,32,Travel_Rarely,3,3,2,Manufacturing Director,1,Married,6725,No,1,8,4,8,7,3
Yes,36,Travel_Rarely,3,2,3,Sales Executive,4,Married,10325,Yes,1,16,3,16,7,7
No,33,Travel_Rarely,2,2,2,Healthcare Representative,4,Single,6949,No,0,6,3,5,0,4
Yes,37,Travel_Rarely,1,2,3,Sales Executive,3,Married,10609,No,0,17,1,14,1,7
No,45,Non-Travel,3,3,2,Laboratory Technician,2,Married,4447,No,0,9,2,9,7,8
No,29,Travel_Frequently,3,3,1,Sales Representative,4,Married,2157,No,1,3,3,3,1,2
No,35,Travel_Rarely,3,3,2,Sales Executive,3,Married,4601,No,0,5,3,5,2,0
No,52,Travel_Rarely,4,3,4,Manager,4,Married,17099,No,1,26,2,9,8,8
Yes,58,Travel_Rarely,4,3,1,Research Scientist,3,Single,2479,No,0,7,3,1,0,0
No,53,Travel_Rarely,3,3,4,Manager,3,Divorced,14852,No,1,22,4,17,13,2
No,30,Travel_Rarely,3,3,3,Sales Executive,3,Divorced,7264,No,1,10,4,8,4,7
No,38,Non-Travel,3,3,2,Sales Executive,4,Single,5666,Yes,0,6,3,5,3,3
No,35,Travel_Rarely,4,3,3,Sales Executive,4,Divorced,7823,No,1,12,3,10,9,8
No,39,Travel_Rarely,1,4,3,Sales Executive,3,Single,7880,No,0,9,3,8,7,7
Yes,40,Non-Travel,2,4,4,Sales Executive,2,Single,13194,Yes,0,22,2,1,0,0
No,47,Travel_Frequently,3,4,2,Manufacturing Director,3,Divorced,5067,Yes,0,20,4,19,10,7
No,36,Non-Travel,1,3,2,Sales Executive,4,Divorced,5079,No,2,12,3,7,7,7
Yes,31,Non-Travel,3,2,1,Research Scientist,1,Single,2321,Yes,0,4,3,3,2,2
No,33,Non-Travel,4,3,4,Manager,3,Single,17444,No,0,10,3,10,8,0
Yes,29,Travel_Rarely,4,2,1,Research Scientist,1,Single,2404,Yes,0,3,3,0,0,0
No,33,Travel_Rarely,2,3,1,Research Scientist,4,Single,3452,No,0,5,3,3,2,2
No,45,Travel_Rarely,4,3,1,Laboratory Technician,4,Divorced,2270,No,2,8,3,5,3,2
No,50,Travel_Rarely,4,3,4,Research Director,4,Divorced,17399,No,1,32,2,5,4,3
No,33,Travel_Frequently,3,4,2,Healthcare Representative,2,Married,5488,Yes,1,6,3,6,5,2
No,41,Travel_Frequently,1,3,5,Research Director,3,Divorced,19419,No,1,21,4,18,16,11
No,27,Travel_Rarely,3,3,1,Laboratory Technician,2,Married,2811,No,1,4,3,2,2,2
No,45,Non-Travel,4,3,2,Laboratory Technician,1,Married,3633,Yes,1,9,3,9,8,8
No,47,Travel_Rarely,4,3,2,Sales Executive,4,Single,4163,Yes,0,9,3,9,0,7
Yes,30,Travel_Rarely,1,3,1,Research Scientist,3,Married,2132,Yes,0,7,3,5,2,1
No,50,Travel_Rarely,4,3,4,Manufacturing Director,3,Married,13973,Yes,1,22,3,12,11,5
No,38,Travel_Frequently,3,3,1,Research Scientist,3,Married,2684,No,1,3,2,2,1,2
No,46,Travel_Rarely,4,3,3,Manufacturing Director,3,Divorced,10845,No,1,13,3,8,7,7
No,24,Travel_Rarely,4,2,2,Manufacturing Director,3,Divorced,4377,No,2,5,3,4,2,2
Yes,35,Travel_Rarely,3,2,1,Laboratory Technician,2,Divorced,3743,Yes,1,5,1,4,2,2
No,31,Travel_Frequently,3,3,2,Manufacturing Director,1,Married,4148,No,1,4,3,4,3,3
No,18,Non-Travel,2,3,1,Research Scientist,4,Single,1051,No,0,0,3,0,0,0
No,54,Travel_Rarely,3,3,3,Manufacturing Director,3,Married,10739,No,1,22,3,10,7,8
No,35,Travel_Rarely,3,3,3,Healthcare Representative,3,Divorced,10388,Yes,1,16,2,16,10,1
No,30,Travel_Rarely,2,4,3,Research Director,1,Married,11416,Yes,3,9,2,8,7,7
Yes,20,Travel_Rarely,4,2,1,Research Scientist,1,Single,2600,Yes,0,1,3,1,0,0
Yes,30,Travel_Frequently,2,3,1,Laboratory Technician,2,Single,2422,No,0,4,3,3,2,2
No,26,Travel_Rarely,4,4,2,Manufacturing Director,4,Married,5472,No,0,8,3,8,7,3
No,22,Travel_Rarely,2,1,1,Laboratory Technician,1,Married,2451,No,1,4,2,4,3,1
No,48,Travel_Rarely,1,2,2,Healthcare Representative,3,Single,4240,No,0,19,3,2,2,2
No,48,Travel_Rarely,3,2,3,Healthcare Representative,3,Single,10999,No,0,27,3,15,11,8
No,41,Travel_Rarely,4,3,2,Manufacturing Director,3,Single,5003,No,0,8,3,2,2,1
No,39,Travel_Rarely,4,2,4,Manufacturing Director,4,Married,12742,No,1,21,3,21,6,8
No,27,Travel_Rarely,1,3,2,Manufacturing Director,4,Married,4227,No,1,4,3,3,2,2
No,35,Travel_Rarely,2,3,1,Laboratory Technician,4,Divorced,3917,No,1,3,2,3,2,2
No,42,Travel_Rarely,4,3,5,Manager,3,Married,18303,No,0,21,4,1,0,0
No,50,Travel_Rarely,1,3,1,Laboratory Technician,4,Married,2380,No,0,8,3,1,0,0
No,59,Travel_Rarely,3,2,4,Manufacturing Director,4,Single,13726,Yes,0,30,3,5,3,3
Yes,37,Travel_Rarely,1,1,2,Healthcare Representative,2,Married,4777,No,0,15,1,1,0,0
No,55,Travel_Frequently,3,3,2,Healthcare Representative,2,Married,6385,Yes,2,17,3,8,7,7
No,41,Non-Travel,2,1,5,Research Director,3,Divorced,19973,No,2,21,3,21,16,10
No,38,Travel_Rarely,2,3,2,Sales Executive,4,Single,6861,Yes,0,19,3,1,0,0
Yes,26,Non-Travel,2,1,2,Sales Executive,1,Single,4969,No,0,7,3,2,2,2
Yes,52,Travel_Rarely,1,1,5,Manager,4,Married,19845,No,1,33,3,32,14,9
No,44,Travel_Rarely,4,4,4,Sales Executive,4,Married,13320,Yes,1,23,3,12,11,11
No,50,Non-Travel,4,3,2,Sales Executive,3,Married,6347,No,1,19,3,18,7,13
Yes,36,Travel_Rarely,3,4,1,Laboratory Technician,1,Single,2743,No,0,18,3,17,13,14
No,39,Travel_Frequently,4,3,3,Manufacturing Director,1,Single,10880,Yes,0,21,3,21,6,8
No,33,Non-Travel,2,2,1,Sales Representative,4,Single,2342,No,0,3,2,2,2,2
No,45,Travel_Rarely,4,3,4,Manager,4,Married,17650,No,1,26,4,9,3,1
No,32,Non-Travel,4,3,1,Laboratory Technician,3,Single,4025,No,0,10,3,8,7,7
No,34,Travel_Rarely,2,4,2,Sales Executive,4,Divorced,9725,No,1,16,2,15,1,9
No,59,Travel_Rarely,2,3,3,Manager,4,Married,11904,Yes,1,14,1,6,4,4
No,45,Travel_Rarely,2,3,1,Human Resources,2,Single,2177,No,0,6,3,6,3,4
No,53,Travel_Frequently,3,2,3,Sales Executive,2,Married,7525,No,1,30,3,15,7,12
Yes,36,Travel_Rarely,1,3,2,Laboratory Technician,3,Divorced,4834,No,1,9,2,1,0,0
Yes,26,Travel_Frequently,1,3,1,Research Scientist,1,Married,2042,Yes,1,6,3,3,2,2
No,34,Travel_Rarely,3,3,1,Sales Representative,3,Married,2220,Yes,1,1,3,1,1,0
No,28,Travel_Rarely,4,3,1,Sales Representative,2,Married,1052,No,0,1,3,1,0,0
No,38,Travel_Frequently,3,3,1,Research Scientist,3,Married,2821,No,1,8,3,2,2,2
No,50,Travel_Rarely,2,3,5,Research Director,3,Married,19237,Yes,1,29,2,8,1,7
No,37,Travel_Rarely,4,3,2,Healthcare Representative,2,Single,4107,No,0,8,2,4,3,1
No,40,Travel_Rarely,3,3,2,Sales Executive,1,Married,8396,No,1,8,2,7,7,5
No,26,Travel_Frequently,1,2,1,Research Scientist,3,Divorced,2007,No,2,5,3,5,3,3
No,46,Travel_Rarely,4,3,5,Research Director,4,Divorced,19627,No,2,23,3,2,2,2
No,54,Travel_Rarely,3,2,3,Sales Executive,3,Married,10686,No,1,13,3,9,4,0
No,56,Travel_Frequently,1,3,1,Research Scientist,3,Married,2942,No,1,18,3,5,4,3
No,36,Travel_Rarely,4,2,3,Manufacturing Director,4,Single,8858,No,0,15,2,14,8,8
No,55,Non-Travel,3,2,4,Manager,1,Single,16756,No,0,31,4,9,7,2
No,43,Travel_Rarely,3,2,3,Sales Executive,4,Divorced,10798,No,1,18,3,1,0,0
Yes,20,Travel_Frequently,4,3,1,Sales Representative,4,Single,2323,Yes,0,2,3,2,2,2
Yes,21,Travel_Rarely,3,2,1,Laboratory Technician,1,Single,1416,No,0,1,2,1,0,0
No,46,Travel_Rarely,4,2,2,Research Scientist,1,Divorced,4615,Yes,3,19,3,16,13,7
Yes,51,Travel_Rarely,1,3,1,Research Scientist,3,Married,2461,Yes,3,18,4,10,0,7
Yes,28,Non-Travel,2,2,3,Healthcare Representative,1,Single,8722,No,0,10,2,10,7,9
No,26,Travel_Rarely,1,2,1,Laboratory Technician,1,Married,3955,No,2,6,3,5,3,3
No,30,Travel_Rarely,3,3,2,Manufacturing Director,1,Married,9957,No,1,7,2,6,2,2
No,41,Travel_Rarely,2,4,1,Research Scientist,3,Married,3376,No,0,10,3,10,6,8
No,38,Travel_Rarely,3,2,3,Healthcare Representative,3,Married,8823,No,1,20,2,19,9,9
No,40,Travel_Rarely,1,3,3,Healthcare Representative,4,Married,10322,No,1,14,3,11,10,1
No,27,Non-Travel,1,1,1,Laboratory Technician,3,Married,4621,No,3,3,3,3,2,2
No,55,Travel_Frequently,4,3,3,Manufacturing Director,2,Married,10976,No,1,23,3,3,2,2
No,28,Travel_Rarely,3,3,2,Research Scientist,3,Single,3660,No,0,10,4,8,7,7
Yes,44,Travel_Rarely,2,2,3,Human Resources,1,Married,10482,No,1,24,3,20,6,6
No,33,Travel_Rarely,4,2,3,Healthcare Representative,4,Divorced,7119,No,1,9,3,3,2,2
Yes,35,Travel_Rarely,4,3,3,Sales Executive,1,Single,9582,Yes,0,9,3,8,7,7
Yes,33,Travel_Frequently,1,2,2,Research Scientist,3,Single,4508,No,0,14,3,13,7,8
No,28,Travel_Rarely,1,3,1,Laboratory Technician,3,Divorced,2207,No,1,4,2,4,2,2
No,34,Travel_Frequently,1,3,2,Healthcare Representative,4,Single,7756,No,0,7,2,6,2,4
No,37,Travel_Rarely,4,2,2,Sales Executive,4,Divorced,6694,Yes,3,8,3,1,0,0
Yes,25,Travel_Rarely,4,3,1,Laboratory Technician,4,Married,3691,Yes,1,7,4,7,7,6
Yes,26,Travel_Rarely,1,3,1,Laboratory Technician,3,Divorced,2377,No,1,1,2,1,1,0
Yes,33,Travel_Rarely,1,2,1,Research Scientist,2,Single,2313,Yes,0,5,3,2,2,2
No,42,Travel_Rarely,4,3,4,Manager,1,Married,17665,No,1,23,3,22,6,7
Yes,28,Travel_Frequently,1,2,1,Laboratory Technician,2,Divorced,2596,No,2,1,3,1,0,0
Yes,50,Travel_Frequently,4,3,2,Sales Executive,3,Single,4728,Yes,0,5,3,0,0,0
No,33,Travel_Frequently,4,3,2,Sales Executive,2,Married,4302,No,1,4,3,3,2,2
No,34,Non-Travel,3,2,1,Research Scientist,4,Married,2979,No,3,6,3,0,0,0
No,48,Non-Travel,1,4,4,Manager,4,Single,16885,No,0,27,2,5,4,1
No,45,Non-Travel,2,2,2,Sales Executive,3,Married,5593,No,1,15,3,15,10,12
No,52,Travel_Rarely,2,3,3,Healthcare Representative,2,Single,10445,No,0,18,3,8,6,0
No,38,Travel_Rarely,3,2,3,Sales Executive,3,Divorced,8740,Yes,2,9,3,8,7,7
No,29,Travel_Rarely,3,3,1,Research Scientist,4,Divorced,2514,No,1,11,3,7,5,7
No,28,Travel_Rarely,4,3,3,Manufacturing Director,2,Divorced,7655,No,3,10,2,9,7,7
No,46,Travel_Rarely,1,3,4,Manager,3,Married,17465,No,1,23,3,12,9,9
No,38,Travel_Rarely,4,3,3,Sales Executive,2,Single,7351,No,0,10,3,1,0,0
No,43,Travel_Frequently,3,3,3,Manufacturing Director,1,Married,10820,No,1,18,3,8,7,1
Yes,39,Travel_Frequently,1,3,4,Healthcare Representative,4,Divorced,12169,No,3,21,3,18,7,5
No,40,Travel_Rarely,3,2,5,Research Director,3,Single,19626,No,0,21,4,20,7,9
No,21,Travel_Rarely,4,2,1,Research Scientist,2,Single,2070,Yes,0,2,4,2,2,2
No,39,Non-Travel,3,3,2,Laboratory Technician,2,Single,6782,No,0,9,2,5,4,3
No,36,Non-Travel,1,3,2,Manufacturing Director,4,Single,7779,No,0,18,3,11,9,9
No,31,Travel_Frequently,3,4,1,Sales Representative,4,Married,2791,No,1,3,3,2,2,2
No,28,Travel_Rarely,1,2,1,Research Scientist,2,Married,3201,No,0,6,1,5,3,4
No,35,Travel_Frequently,4,3,2,Sales Executive,4,Divorced,4968,No,1,5,3,5,2,2
No,49,Travel_Rarely,4,2,4,Sales Executive,2,Married,13120,No,1,22,3,9,8,3
No,34,Travel_Frequently,4,3,2,Manufacturing Director,3,Single,4033,No,0,5,2,3,2,2
No,29,Travel_Frequently,4,3,1,Research Scientist,2,Divorced,3291,No,2,8,2,7,5,1
No,42,Travel_Rarely,2,1,2,Laboratory Technician,4,Single,4272,No,0,16,3,1,0,0
No,29,Travel_Rarely,2,2,2,Manufacturing Director,4,Married,5056,Yes,1,10,2,10,7,2
No,38,Travel_Rarely,3,4,1,Human Resources,3,Married,2844,No,1,7,4,7,6,0
No,28,Travel_Frequently,3,2,1,Research Scientist,3,Divorced,2703,Yes,1,3,3,3,1,2
Yes,18,Non-Travel,3,3,1,Laboratory Technician,3,Single,1904,No,0,0,3,0,0,0
Yes,33,Travel_Rarely,1,3,2,Sales Executive,1,Single,8224,Yes,0,6,3,5,2,3
No,41,Travel_Rarely,2,3,1,Laboratory Technician,4,Married,4766,Yes,1,6,3,1,0,0
Yes,31,Travel_Frequently,3,3,1,Laboratory Technician,3,Married,2610,No,1,2,2,2,2,2
No,37,Travel_Rarely,3,2,2,Healthcare Representative,4,Divorced,5731,No,2,9,3,6,2,3
No,27,Travel_Rarely,4,2,1,Research Scientist,3,Married,2539,No,1,4,3,4,2,2
No,34,Travel_Rarely,2,3,2,Sales Executive,3,Married,5714,No,0,6,2,6,5,3
No,35,Travel_Rarely,3,3,1,Human Resources,3,Single,4323,No,0,6,1,5,4,4
